repo,path,is_document,is_generated
Archivist-Agent,.act-prompt.txt,true,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682697-g8bkav.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682699-6k1sci.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682700-ckmqfe.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682701-gb74q6.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682702-0vhw2p.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682703-c6xntx.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682704-e2i3lz.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682706-8058zy.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682708-0fnt61.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682709-q6n3l5.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682710-t8jsmu.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682711-wm89x3.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682712-wt4j1a.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682713-9f5p7t.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682714-gm36m6.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682714-tq4qmf.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682715-mubu86.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682717-84s3me.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682718-3xhxe1.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682718-wp94ij.json,false,false
Archivist-Agent,.archive/quarantine-20260503/archivist-blocked/nack-nack-1777428682719-ugu5po.json,false,false
